Course,Distribs,Quality,Reviews
COSC049: Topics in Algorithms and Complexity,QDS,4.0,14.0
COSC050: Software Design and Implementation,TLA,47.0,60.0
COSC051: Computer Architecture,TAS,8.0,20.0
COSC052: Full-Stack Web Development,TAS,22.0,8.0
COSC055: Security and Privacy,TAS,1.0,8.0
COSC056: Digital Electronics,TLA,1.0,14.0
COSC058: Operating Systems,TAS,2.0,23.0
COSC059: Principles of Programming Languages,TAS,-2.0,8.0
COSC060: Computer Networks,TAS,3.0,16.0
COSC061: Database Systems,TAS,3.0,5.0
COSC065: Smartphone Programming,TAS,-7.0,6.0
COSC067: Introduction to Human-Computer Interaction,TAS,0.0,1.0
COSC069.09: Mobile Sensing,TAS,1.0,1.0
COSC069.14: Functional Programming in Haskell,QDS,2.0,1.0
COSC069: Topics in Computer Systems,TAS,1.0,2.0
COSC070.01: Foundations of Applied Computer Science,QDS,4.0,4.0
COSC070: Foundations of Applied Computer Science,"QDS, TAS",-5.0,6.0
COSC071: Numerical Methods in Computation,QDS,4.0,10.0
COSC072: Accelerated Computational Linguistics,TAS,2.0,2.0
COSC073: Computational Aspects of Digital Photography,TAS,1.0,2.0
COSC074: Machine Learning and Statistical Data Analysis,QDS,23.0,15.0
COSC075: Introduction to Bioinformatics,TLA,2.0,6.0
COSC076: Artificial Intelligence,TAS,12.0,10.0
COSC077: Computer Graphics,TAS,3.0,6.0
COSC078: Deep Learning,TAS,6.0,3.0
COSC081: Principles of Robot Design and Programming,TLA,1.0,6.0
COSC087: Rendering Algorithms,TAS,-2.0,1.0
COSC089.11: Cognitive Computing with Watson,TAS,1.0,4.0
COSC089.21: Data Mining and Knowledge Discovery,TAS,1.0,2.0
COSC089.25: GPU Programming and High Performance Computing,QDS,5.0,1.0
COSC089.27: Security and Privacy of Machine Learning,,1.0,1.0
COSC098.01: Senior Design and Implementation Project I,,1.0,1.0
COSC098.02: Senior Design and Implementation Project II,,1.0,1.0
COSC098: Senior Design and Implementation Project,,2.0,1.0
COSC099: Honors Thesis Research,,2.0,9.0
COSC169: Topics in Computer Systems,,1.0,3.0
COSC258: Operating Systems,,2.0,1.0
CRWT010: Introduction to Fiction,ART,23.0,12.0
CRWT011: Writing and Reading Creative Nonfiction,ART,10.0,1.0
CRWT012: Introduction to Poetry,ART,10.0,7.0
CRWT020: Intermediate Fiction I,ART,4.0,1.0
CRWT021: Intermediate Creative Non Fiction I,ART,-5.0,3.0
CRWT022: Intermediate Poetry I,ART,2.0,1.0
CRWT040.01: Imaginary Countries,ART,5.0,2.0
CRWT041.01: Writing for Television,ART,3.0,1.0
CRWT060: Senior Workshop in Creative Writing: Fiction,ART,1.0,1.0
EARS001: How the Earth Works,SLA,55.0,93.0
EARS002: Evolution of Earth and Life,SCI,31.0,60.0
EARS003: Elementary Oceanography,SCI,8.0,37.0
EARS004: Dinosaurs,,1.0,14.0
EARS005: Natural Disasters and Catastrophes,SCI,6.0,61.0
EARS006: Environmental Change,SCI,33.0,51.0
EARS007.06: First-Year Seminars in Earth Sciences,SCI,8.0,4.0
EARS007.07: Untold Stories in Geosci,,0.0,1.0
EARS007: First-Year Seminars in Earth Sciences,,2.0,22.0
EARS008: Carbon Sequestration: Opportunities and Challenges,SCI,4.0,5.0
EARS009: Earth Resources,SCI,3.0,3.0
EARS010: Carbon Sequestration,SCI,-2.0,2.0
EARS012: Big Data Science in Hydrology,TAS,2.0,1.0
EARS013: Introduction to Computational Methods in Earth Science,TAS,1.0,1.0
EARS014: Meteorology,SLA,11.0,7.0
"EARS015: Earth's Climate - Past, Present and Future",SLA,4.0,12.0
EARS016: Hydrology and Water Resources,TAS,1.0,1.0
EARS018: Environmental Geology,TLA,3.0,1.0
EARS028: Macroevolution,SCI,2.0,18.0
EARS031: Paleobiology,,2.0,6.0
EARS033: Earth Surface Processes and Landforms,"SCI, SLA",5.0,8.0
EARS035: The Soil Resource,SLA,1.0,5.0
EARS036: Astrobiology,SCI,-5.0,8.0
EARS037: Marine Geology,SCI,1.0,8.0
EARS040: Materials of the Earth,SLA,2.0,2.0
EARS045: Field Methods: Techniques of Structural and Stratigraphic Analysis,SLA,3.0,10.0
EARS046: Field Methods: Environmental Monitoring,SLA,2.0,5.0
EARS047: Field Methods: Resource and Earth Hazards Assessment,SLA,1.0,3.0
EARS062: Geochemistry,SCI,0.0,5.0
EARS064: Geophysics,"SCI, SLA",1.0,1.0
EARS066: Hydrogeology,SCI,1.0,10.0
EARS067: Environmental Geomechanics,SCI,1.0,2.0
EARS070: Glaciology,QDS,4.0,2.0
EARS072: Geobiology,SCI,3.0,1.0
EARS076: Advance Hydrology,TAS,2.0,2.0
EARS077: Environmental Applications of GIS,TLA,3.0,2.0
"ECON001: The Price System: Analysis, Problems, and Policies",SOC,285.0,644.0
ECON002: Economic Principles and Policies,SOC,13.0,85.0
ECON010: Introduction to Statistical Methods,QDS,36.0,260.0
ECON015: Political Economy of China,"INT, SOC",0.0,3.0
ECON016: Political Economy of Regulation,SOC,6.0,2.0
ECON017: Technological Progress and the Entrepreneurial Economy,SOC,2.0,3.0
ECON020: Econometrics,QDS,47.0,176.0
ECON021: Microeconomics,SOC,74.0,237.0
ECON022: Macroeconomics,SOC,117.0,257.0
ECON024: Development Economics,"INT, SOC, NW",16.0,43.0
ECON025: Competition and Strategy,SOC,11.0,46.0
ECON026: The Economics of Financial Intermediaries and Markets,SOC,52.0,163.0
ECON027: Labor Economics,SOC,10.0,29.0
ECON028: Public Finance and Public Policy,SOC,16.0,75.0
ECON029: International Finance and Open-Economy Macroeconomics,"INT, SOC",17.0,114.0
ECON032: Monetary Policy and the Macroeconomy,SOC,6.0,1.0
ECON035: Games and Economic Behavior,SOC,6.0,7.0
ECON036: Theory of Finance,SOC,5.0,105.0
ECON037: Gender and Family Issues in Modern Economies,SOC,6.0,5.0
ECON038: The Economics of Governments and Public Policy,SOC,5.0,28.0
ECON039: International Trade,"INT, SOC",41.0,133.0
ECON044: Topics in Developing Economics,"INT, SOC, NW",-1.0,6.0
ECON045: Topics in Industrial Organization,SOC,3.0,7.0
ECON046: Topics in Money and Finance,SOC,5.0,31.0
ECON047: Topics in Labor Economics,SOC,3.0,1.0
ECON048: Topics in Public Economics,SOC,4.0,4.0
ECON049: Topics in International Economics,"INT, SOC",3.0,16.0
ECON066: Topics in Money and Finance,SOC,1.0,1.0
ECON068: Topics in Public Economics,SOC,2.0,2.0
ECON070.03: Macroeconomics Policy in Latin America: Argentina and Chile,,3.0,2.0
ECON077: Social Entrepreneurship,"SOC, W",5.0,7.0
ECON080: Advanced Topics in Econometrics,SOC,6.0,13.0
ECON081: Advanced Topics in Microeconomics,SOC,4.0,9.0
ECON082: Advanced Topics in Macroeconomics,SOC,1.0,8.0
"EDUC001: Introduction to Education: Learning, Development, and Teaching",SOC,48.0,46.0
EDUC016: Educational Psychology,SOC,4.0,25.0
EDUC017: What Works in Education?,SOC,-1.0,2.0
EDUC019: Educational Testing,SOC,4.0,3.0
EDUC020: Educational Issues Contemporary Society,SOC,24.0,103.0
EDUC027: The Impact of Poverty on Education,SOC,1.0,2.0
EDUC029: Policy and Politics in American Education,SOC,5.0,24.0
EDUC030: Educational Psychology,SOC,2.0,2.0
EDUC041: Teaching and Learning in Schools,SOC,1.0,3.0
EDUC042: Advanced Principles of Elementary Teaching,,2.0,5.0
EDUC045: Principles of Teaching and Learning in the Secondary School: Theory and Practice,,1.0,6.0
EDUC046: STEM and Education,SOC,6.0,6.0
EDUC047: Social and Emotional Development,SOC,2.0,3.0
EDUC048: Practice Teaching II - Secondary,,1.0,1.0
EDUC050: The Reading Brain: Education and Development,SOC,0.0,7.0
EDUC051: Educational Testing,SOC,3.0,20.0
EDUC055: Applying Cognitive Psychology to Education,SOC,3.0,11.0
EDUC056: STEM and Education,SOC,3.0,4.0
EDUC057: Social and Emotional Development,SOC,2.0,2.0
EDUC058: Language Acquisition and Development,SOC,10.0,32.0
EDUC060: Learning and Education Across Cultures,SOC,3.0,3.0
EDUC062: Adolescent Development and Education,SOC,6.0,22.0
EDUC064: Development in the Exceptional Child,SOC,-2.0,20.0
EDUC088: Seminar in Human Development and Education: The Changeable Brain,SOC,2.0,7.0
ENGL001: Literary History I: Literature up to the mid-Seventeenth Century,"LIT, W",5.0,6.0
ENGL002: Literary History II: Literature from the mid-Seventeenth Century through the Nineteenth Century,"LIT, W",6.0,32.0
ENGL003: Literary History III: Literature in the Twentieth and Twenty-First Centuries,"LIT, W",3.0,19.0
ENGL006: Narrative Journalism: Literature and Practice,"LIT, W",1.0,5.0
ENGL007.03: Focus on Hamlet,,0.0,1.0
ENGL007.04: Literature of the Machine,"LIT, W",-1.0,1.0
ENGL007.16: Investigative Memoir,LIT,6.0,2.0
ENGL007.43: Race and Popular Music,"ART, CI",1.0,1.0
ENGL007.44: Reading Jane Austen,"LIT, W",5.0,4.0
"ENGL007.46: Belonging, Migration, Exile",LIT,4.0,1.0
ENGL007.47: Tales of the Avant-Garde,"LIT, W",0.0,1.0
"ENGL007.48: Law, Literature and Justice","LIT, W",2.0,1.0
ENGL007.49: Secret History,LIT,2.0,1.0
ENGL007.56: Rethinking Ecopoetics,ART,0.0,1.0
ENGL007: First-Year Seminars in English,,41.0,206.0
ENGL010: Old English and Scandinavian Epic and Saga,"LIT, W",2.0,11.0
ENGL011: Chaucer: &quot;The Canterbury Tales&quot;,"LIT, W",4.0,13.0
ENGL012: Chaucer's &quot;Troilus and Criseyde&quot; and Other Poems,,1.0,2.0
ENGL014: Renaissance Poetry,,2.0,8.0
ENGL015: Shakespeare,"LIT, W",20.0,66.0
ENGL016: Renaissance Drama,LIT,1.0,11.0
ENGL017: Milton,"LIT, W",7.0,16.0
"ENGL018: Poetry, Prose, and Drama of the English Restoration, 1660-1689","LIT, W",2.0,27.0
"ENGL019: Writing, Resistance, and (digital) Revolution","LIT, W",2.0,5.0
ENGL020: Age of Satire,,8.0,29.0
ENGL021: Reason and Revolution,"LIT, W",1.0,9.0
ENGL022: The Rise of the Novel,"LIT, W",8.0,20.0
ENGL023: Romantic Literature: Aesthetics and Ideology from the French Revolution to Frankenstein,"LIT, W",13.0,28.0
"ENGL024: Victorian Literature and Culture, 1837-1859","LIT, W",21.0,83.0
"ENGL025: Victorian Literature and Culture, 1860-1901","LIT, W",1.0,1.0
ENGL026: Masterpieces of Nineteenth Century British Fiction,"LIT, W",4.0,6.0
"ENGL027: Tell It Slant: Female, Black, Queer Readings of Early American Poetry","LIT, W",0.0,14.0
"ENGL028: Making Americans: Hipsters, Tricksters and Geniuses","LIT, W",2.0,7.0
ENGL029: American Fiction to 1900,"LIT, W",3.0,3.0
ENGL030: Early Black American Literature,,5.0,16.0
ENGL031: Asian American Literature and Culture,"LIT, CI",2.0,2.0
ENGL033: Modern Black American Literature,"LIT, W",3.0,2.0
ENGL034: From Anna Christie to Hamilton (and Donald Trump): Modern American Drama,"LIT, W",15.0,33.0
ENGL035: American Fiction: 1900 to World War II,"LIT, W",-2.0,2.0
ENGL036: Contemporary American Fiction,"LIT, W",2.0,11.0
ENGL037: Contemporary American Poetry,"LIT, W",8.0,12.0
ENGL038: American and British Poetry: 1900-1960,"LIT, W",10.0,32.0
ENGL039: Modern British Drama,"LIT, W",1.0,4.0
ENGL040: British Fiction: 1900 to World War II,,4.0,19.0
ENGL041: British Fiction: World War II to the Present,,3.0,40.0
ENGL042: Introduction to Postcolonial Literature,"INT, LIT, NW",15.0,45.0
ENGL044: Introduction to Digital Studies,ART,2.0,2.0
ENGL045: Introduction to Literary Theory,LIT,5.0,9.0
ENGL046: Old and New Media,"LIT, W",3.0,17.0
ENGL047: A History of the English Language,"QDS, W",7.0,45.0
ENGL048: Critical Issues in Postcolonial Studies,"INT, LIT, NW",4.0,24.0
ENGL051.02: Shakespeare's King Lear and Macbeth: Text and Film,"LIT, W",0.0,1.0
ENGL051.13: Gender and Power in Shakespeare,"LIT, W",1.0,1.0
ENGL052.06: Media & Monstrosity,"LIT, W",1.0,3.0
ENGL052.10: Vox Clamantis: Wilderness in 19thC American Literature,"W, LIT",-2.0,2.0
ENGL052.17: Victorian Children's Literature: Fairytale and Fantasy,"LIT, W",8.0,2.0
ENGL052.18: Netflix and the Victorian Serial Novel,"LIT, W",4.0,2.0
ENGL053.08: Weird Fiction and the Limits of the Human,"LIT, W",1.0,1.0
ENGL053.17: The Graphic Novel,"LIT, W",6.0,2.0
ENGL053.49: Graphic Medicine,"W, LIT",2.0,1.0
"ENGL054.05: Animal Studies: Theory, Literature, Politics","W, LIT",1.0,1.0
ENGL054.40: Literary Culture in an Age of Digital Distraction,ART,1.0,1.0
ENGL055.07: The Arts of War,"INT, ART",1.0,1.0
ENGL055.11: Hamilton: The Revolution as a Work of Art,"SOC, CI",3.0,1.0
ENGL055.12: Dartmouth Fictions,"LIT, W",7.0,2.0
ENGL062.12: Jane Austen,"LIT, W",1.0,1.0
ENGL063.06: The Undead South: Horror and Haunting in U.S. Southern Literature,"LIT, W",1.0,1.0
ENGL064.05: Cultural Analytics,QDS,1.0,2.0
ENGL074.04: Postcolonial Bildungsroman: Youth and Happiness in the Global Novel,"LIT, CI",1.0,1.0
ENGL080: Writing and Reading Fiction,ART,21.0,58.0
ENGL081: Writing and Reading Creative Nonfiction,ART,4.0,8.0
ENGL082: Writing and Reading poetry,ART,4.0,21.0
ENGL083: Intermediate Workshop in Fiction,ART,2.0,4.0
ENGL085: Intermediate Workshop in Poetry,ART,2.0,8.0
ENGL090: English Study Abroad I,"LIT, W",2.0,3.0
ENGS001.01: Mathematical Concepts in Engineering,TAS,1.0,1.0
ENGS001: Everyday Technology,TLA,4.0,16.0
"ENGS002: Integrated Design: Engineering, Architecture, and Building Technology",TAS,19.0,29.0
ENGS003: Materials: The Substance of Civilization,TAS,6.0,62.0
ENGS004: Technology of Cyberspace,TAS,4.0,5.0
ENGS005: Healthcare and Biotechnology in the 21st Century,TAS,4.0,59.0
ENGS006: Technology and Biosecurity,TAS,2.0,9.0
ENGS007.05: Perspectives: Med Imaging,TAS,0.0,1.0
ENGS007: First-Year Seminars in Engineering Sciences,TAS,1.0,44.0
ENGS008: Materials in Sports Equipment,TAS,4.0,7.0
ENGS009: Everyday Technology,TLA,2.0,2.0
ENGS010: The Science and Engineering of Digital Imaging,,0.0,21.0
ENGS011: The Way Things Work: A Visual Introduction to Engineering,"TAS, ART",12.0,3.0
ENGS012: Design Thinking,TAS,93.0,40.0
ENGS013: Virtual Medicine and Cybercare,TAS,18.0,29.0
ENGS018: System Dynamics in Policy Design and Analysis,TAS,11.0,3.0
ENGS020: Introduction to Scientific Computing,TAS,49.0,62.0
ENGS021: Introduction to Engineering,TAS,46.0,86.0
ENGS022: Systems,"TLA, TAS",17.0,61.0
ENGS023: Distributed Systems and Fields,TAS,4.0,28.0
ENGS024: Science of Materials,TLA,1.0,18.0
ENGS025: Introduction to Thermodynamics,TAS,9.0,27.0
ENGS026: Control Theory,TAS,4.0,10.0
ENGS027: Discrete and Probabilistic Systems,TAS,6.0,11.0
ENGS028: Embedded Systems,TLA,1.0,1.0
ENGS031: Digital Electronics,TLA,14.0,6.0
ENGS032: Electronics: Introduction to Linear and Digital Circuits,TLA,4.0,8.0
ENGS033: Solid Mechanics,TLA,16.0,47.0
ENGS034: Fluid Mechanics,TLA,2.0,8.0
ENGS035: Biotechnology and Biochemical Engineering,"TAS, TLA",7.0,19.0
ENGS036: Chemical Engineering,TAS,2.0,7.0
ENGS037: Introduction to Environmental Engineering,TAS,12.0,38.0
ENGS041: Sustainability and Natural Resource Management,TAS,3.0,7.0
ENGS043: Environmental Transport and Fate,TAS,1.0,3.0
ENGS044: Sustainable Design,TAS,1.0,7.0
ENGS052: Introduction to Operations Research,TAS,0.0,9.0
ENGS056: Introduction to Biomedical Engineering,"TLA, TAS",3.0,7.0
ENGS062: Microprocessors in Engineered Systems,TLA,4.0,4.0
ENGS064: Engineering Electromagnetics,TAS,1.0,1.0
ENGS065: Engineering Software Design,TAS,0.0,1.0
ENGS066: Discrete Mathematics in Computer Science,QDS,1.0,1.0
ENGS068: Introduction to Communication Systems,TAS,1.0,1.0
ENGS072: Applied Mechanics: Dynamics,TAS,1.0,1.0
ENGS073: Materials Processing and Selection,TLA,2.0,1.0
ENGS075: Product Design,TAS,3.0,1.0
ENGS076: Machine Engineering,TAS,2.0,27.0
ENGS085.08: Embedded Systems,,6.0,3.0
ENGS085: Special Topics,,2.0,1.0
ENGS089: Engineering Design Methodology and Project Initiation,,0.0,1.0
ENGS091: Numerical Methods in Computation,QDS,4.0,2.0
ENGS092: Fourier Transforms and Complex Variables,QDS,2.0,5.0
ENGS093: Statistical Methods in Engineering,QDS,2.0,1.0
ENGS145: Modern Control Theory,,1.0,1.0
ENGS171: Industrial Ecology,,4.0,1.0
ENGS174: Energy Conversion,,1.0,1.0
ENVS002: Introduction to Environmental Science,SCI,27.0,157.0
ENVS003: Environment and Society,SOC,25.0,54.0
ENVS007.02: Conservation&Sustainability,INT,-3.0,2.0
ENVS007.03: Ecopsychology,TMV,2.0,1.0
ENVS007.04: COVER Stories,SOC,4.0,1.0
ENVS007.13: Putting a Price on the Planet,SOC,2.0,1.0
ENVS007.14: Hidden From View,SOC,1.0,1.0
ENVS007.15: Future of Food,SCI,3.0,2.0
ENVS007.16: Invasive Species,SOC,2.0,2.0
ENVS007: First-Year Seminars in Environmental Studies,,11.0,69.0
ENVS012: Energy and the Environment,TAS,10.0,36.0
ENVS015: Environmental Issues of the Earth's Cold Regions,TAS,9.0,18.0
"ENVS016: Business, Growth, and the Environment","INT, SOC",2.0,2.0
ENVS017: Marine Policy,SOC,16.0,12.0
ENVS018: Indigenous Environmental Studies,"TMV, NW",6.0,1.0
ENVS020: Conservation of Biodiversity,TAS,4.0,23.0
ENVS025: Agroecology,TLA,8.0,23.0
ENVS028: Global Environmental Health,TAS,8.0,17.0
ENVS030: Global Environmental Science,SCI,4.0,10.0
"ENVS039: Natural Resources, Development, and the Environment",SOC,2.0,22.0
ENVS040: Foreign Study in Environmental Problems I,SOC,1.0,5.0
ENVS042: Foreign Study in Environmental Problems II,INT,1.0,4.0
ENVS044: Environment and Politics in Southeast Asia,"NW, INT, SOC",1.0,29.0
"ENVS045: Colonialism, Development, and the Environment in Africa and Asia","INT, SOC, NW",0.0,2.0
ENVS050: Environmental Problem Analysis and Policy Formulation,SOC,2.0,4.0
ENVS053: Science for Sustainable Systems,,1.0,2.0
ENVS055: Ecological Economics,SOC,4.0,2.0
ENVS056: Environmental Economics and Governance,SOC,2.0,4.0
ENVS060: Environmental Law,SOC,8.0,22.0
ENVS065: Global Environmental Politics,INT,4.0,25.0
ENVS067: Political Ecology,"INT, SOC",7.0,3.0
ENVS072: Nature Writers,"LIT, W",1.0,3.0
ENVS079: The Soil Resource,SLA,1.0,1.0
ENVS080.01: Arctic Environmental Change,TAS,2.0,2.0
ENVS080.08: The Practice of Science Policy & Diplomacy,SOC,6.0,4.0
ENVS080.11: Social Ecological Systems: Theory and Methods,TAS,4.0,4.0
ENVS080.12: The Green New Deal,SOC,1.0,6.0
ENVS080.13: Just Transitions in Agriculture: Theory and Practice,SOC,0.0,1.0
ENVS084: Seminar on Environmental Issues of Southern Africa,NW,1.0,4.0
"ENVS089: Soils, Forests and Food",SCI,1.0,2.0
FILM001: Introduction to Film: From Script to Screen,"ART, W",20.0,91.0
FILM002: Introduction to Television,"ART, W",-2.0,3.0
FILM003: Introduction to Digital Arts and Culture,W,4.0,3.0
FILM007.15: Women & Comedy in Film,"ART, CI",0.0,1.0
FILM007.18: Special Effects,"W, ART",2.0,1.0
FILM007.19: Am Silent Film Comedy,ART,1.0,2.0
FILM007: First-Year Seminars in Film and Media Studies,,10.0,40.0
FILM010: Special Topics in Film,,2.0,1.0
FILM020: Film History I (Silent to Sound),"ART, W",4.0,34.0
FILM021: Film History II (1930-60),"INT, ART, W",2.0,19.0
FILM022: Film History III (1960 to 1990),"INT, ART, W",3.0,18.0
FILM030: Documentary Videomaking,"ART, W",6.0,10.0
FILM031: Filmmaking I: Basic Elements of Film,ART,6.0,21.0
FILM032: Filmmaking II,ART,1.0,4.0
FILM033: Writing for the Screen I,ART,10.0,18.0
FILM034: Writing for the Screen II,ART,3.0,5.0
FILM035: Animation: Principles and Practice,ART,4.0,12.0
FILM037: Directing for the Camera,ART,7.0,5.0
FILM040: Theories and Methodologies of Film and Media Studies,ART,3.0,12.0
FILM042.02: The French New Wave,"W, ART",-1.0,2.0
FILM042.08: Asian Animation as Socio-Political Artifact,"ART, NW",2.0,1.0
FILM042.22: Moviegoing in America,"CI, ART",0.0,1.0
FILM043.04: Hitchcock,"W, ART",4.0,1.0
FILM044.09: Cinematography I: Lighting and Composition,ART,1.0,1.0
FILM045: U. S. Television History,"ART, W",3.0,7.0
FILM046.04: Broadcast Journalism and Electronic Journalism History,"SOC, W",0.0,1.0
FILM046.07: Television and New Media,"ART, W",0.0,2.0
FILM047.01: Video Mashups,ART,0.0,1.0
FILM047.22: Buddhism and Film,"TMV, NW",0.0,1.0
FILM047.24: Race & Gender in American Film,"ART, W",1.0,1.0
FILM050.04: Video Games and the Meaning of Life,"TMV, CI",3.0,1.0
FREN001: Introductory French I,,57.0,186.0
FREN002: Introductory French II,,56.0,204.0
FREN003: Introductory French III,,57.0,148.0
FREN005: Language Study Abroad: Aspects of French Civilization,W,1.0,6.0
FREN006: Language Study Abroad: Readings in French Literature,"LIT, W",1.0,13.0
FREN007.06: Paris in Lit and Film,,-2.0,4.0
FREN007: First-Year Seminars in French Literature,"LIT, W",7.0,30.0
FREN008: Exploring French Culture and Language,"SOC, W",27.0,89.0
FREN010.08: Living in Paris/Habiter Paris,"LIT, W",3.0,2.0
FREN010.10: Du mal/On Evil,"LIT, W",4.0,3.0
"FREN010.17: Saints, Martyrs, Demons","LIT, W",3.0,4.0
FREN010: Introduction to French Literature: Masterworks and Great Issues,"LIT, W",18.0,68.0
FREN011: Intensive French,,5.0,3.0
FREN012: Advanced Writing and Speaking in French,W,1.0,1.0
FREN015: The Language and Culture of French Business,,1.0,6.0
FREN020: Interpreting French Cultures,"SOC, W",1.0,8.0
FREN021: Introduction to Francophone Literature and Culture,"LIT, NW",4.0,20.0
FREN022: Introduction to French Literature I: the Middle Ages and the Renaissance,"LIT, W",2.0,6.0
FREN023: Introduction to French Literature II: Neoclassicism and the Eighteenth Century,"LIT, W",3.0,12.0
FREN024: Introduction to French Literature and Culture III: Nineteenth Century,"LIT, W",3.0,16.0
FREN025: Introduction to French Literature and Culture IV: Twentieth and Twenty-First Centuries,"LIT, W",5.0,19.0
FREN029: French Civilization: Study Abroad,"ART, W",1.0,6.0
FREN030: French Literature: Study Abroad,"LIT, W",1.0,4.0
FREN031: The French Language: Study Abroad,W,1.0,4.0
FREN035: The French Language: Introduction to Linguistics and Rhetoric,,1.0,4.0
FREN040.05: Acting French,"ART, W",0.0,1.0
FREN040: Acting French,,4.0,15.0
FREN045.01: Dartmouth Meets the French Enlightenment,"TMV, W",0.0,1.0
FREN045: Dartmouth Meets the French Enlightenment,"LIT, W, TMV",2.0,6.0
FREN050: French Literature: Major Figures,,2.0,7.0
FREN053: French Thought: Philosophical Issues,,1.0,10.0
FREN055.06: Politics and French Intellectuals,"TMV, W",0.0,1.0
FREN055: French Culture and Politics,,6.0,14.0
FREN060: Gender and French Literature,,1.0,2.0
FREN070.02: Francophone Literature,LIT,0.0,1.0
FREN070: Francophone Literature,,1.0,1.0
FREN075: French Film,,2.0,7.0
"FREN078: Senior Major Workshop: Methods in Reading, Writing and Cultural Analysis","LIT, W",1.0,3.0
FREN080: French Literature and the Other Arts,"ART, W",4.0,10.0
FREN081: Seminar,,3.0,5.0
FRIT033.01: Into and Beyond Dante's Inferno -,"LIT, W",4.0,1.0
FRIT034: Renaissance Studies in Translation,,1.0,3.0
FRIT035.02: Fascisms,"INT, W",1.0,1.0
FRIT037.08: Obsessive Affinities Contemporary French & American poetry,"W, LIT",2.0,1.0
GEOG001: Introduction to Human Geography,"INT, SOC, CI",20.0,126.0
GEOG002.01: Introduction to Human Geography,"CI, SOC, INT",13.0,4.0
GEOG002: Global Health and Society,"INT, SOC",8.0,18.0
GEOG003.01: Living with Nature,SOC,1.0,3.0
GEOG003: Introduction to the Natural Environment,SLA,14.0,34.0
GEOG004.01: Global Poverty and Care,"INT, SOC",13.0,6.0
GEOG004.02: Introduction to Geospatial Thinking,SOC,2.0,1.0
GEOG004: New England Landscapes and Environments,,2.0,18.0
GEOG005: Global Climate Change,SCI,1.0,26.0
GEOG006.01: Urban Geography,SOC,0.0,2.0
GEOG006: Introduction to International Development,"INT, SOC, NW",13.0,31.0
GEOG007.14: Thirsty Planet,SCI,3.0,4.0
GEOG007.17: Charting Self-Driving Cars,SOC,6.0,7.0
GEOG007: First-Year Seminars in Geography,,8.0,46.0
GEOG008.01: Introduction to International Development,"NW, SOC, INT",0.0,1.0
GEOG009.01: Geographical Information Systems (GIS),TLA,5.0,8.0
GEOG009: Climate Change and the Future of Agriculture,SCI,3.0,2.0
GEOG011: Qualitative Methods and the Research Process in Geography,SOC,0.0,6.0
"GEOG012: Wilderness, Culture and Environmental Conservation",SOC,4.0,6.0
"GEOG013: Population, Culture, and Environment",,6.0,26.0
GEOG014: Water Policy and Politics,"INT, SOC",3.0,6.0
GEOG015.01: Global Climate Change,SCI,1.0,1.0
GEOG015: Food and Power,"INT, SOC, NW",4.0,11.0
GEOG016.01: A Climate for Human Security,"W, SCI",2.0,1.0
GEOG016: Moral Economies of Development,"INT, SOC",1.0,5.0
GEOG017: Geopolitics and Third World Development,"INT, SOC, NW",7.0,28.0
GEOG018.01: Climate Extremes On A Warming Planet,SCI,4.0,2.0
GEOG018: Urbanization and the Environment,"INT, SOC",1.0,5.0
GEOG019.01: Climate Change and the Future of Agriculture,SCI,11.0,5.0
GEOG019: Indigeneity and Development,SOC,4.0,19.0
GEOG020: Economic Geography and Globalization,SOC,8.0,13.0
GEOG022: Urban Geography,SOC,15.0,35.0
"GEOG023: Power, Territoriality, and Political Geography",SOC,9.0,7.0
GEOG024: American Landscapes and Cultures,"SOC, CI",2.0,5.0
GEOG025: Social Justice and the City,"SOC, CI",6.0,12.0
"GEOG026: Women, Gender and Development","SOC, CI",3.0,11.0
"GEOG028: Immigration, Race, and Ethnicity","SOC, CI",12.0,25.0
GEOG029: Global Cities,"INT, SOC, NW",2.0,1.0
GEOG031: The Local and Global Biosphere,"SOC, SLA",2.0,10.0
GEOG033.01: Geopolitics and Third World Development,"NW, SOC, INT",1.0,1.0
GEOG033: Earth Surface Processes and Landforms,"SCI, SLA",1.0,1.0
GEOG037: A Climate for Human Security,W,2.0,1.0
"GEOG041: Gender, Space and Islam",,1.0,2.0
GEOG042: Water Policy and Politics,"SOC, INT",1.0,1.0
GEOG043: Food and Power,"NW, SOC, INT",2.0,1.0
GEOG044: Environment and Politics in Southeast Asia,"NW, INT, SOC",1.0,1.0
GEOG045: Exploring Nature and Culture in New England,"SOC, W",2.0,2.0
GEOG047: The Czech Republic in the New Europe,"SOC, W",0.0,2.0
GEOG048: Indigeneity and Development,,1.0,6.0
GEOG050.03: GIS Programming and Databases,TAS,1.0,1.0
GEOG050: Geographical Information Systems (GIS),TLA,7.0,5.0
GEOG051: Remote Sensing,TLA,1.0,2.0
GEOG054: Geovisualization,SLA,3.0,2.0
GEOG057: Urban Applications of GIS,TLA,0.0,1.0
GEOG058: Critical Analysis in GIS,TAS,1.0,1.0
GEOG059: Environmental Applications of GIS,TLA,1.0,1.0
GEOG066: Geopolitics of Humanitarianism,SOC,-1.0,1.0
GEOG071: Racial Geographies: Race and the Politics of Place,"CI, SOC",3.0,1.0
GEOG077: Environmental Applications of GIS,TLA,1.0,1.0
